id,name,description,price,image
1,The Dream Chapter: Star,TOMORROW X TOGETHER delivers their story through their 1st Mini Album,800,https://ibighit.com/txt/images/txt/discography/the_dream_chapter-star/album-cover.jpg
2,The Dream Chapter: Magic,Unfolds their story of growth and encounters in this new journey through the 1st Full-Length Album ,900,https://ibighit.com/txt/images/txt/discography/the_dream_chapter-magic/album-cover.jpg
3,The Dream Chapter:,In hope that their time together will last eternally with 2nd mini album,900,https://ibighit.com/txt/images/txt/discography/the_dream_chapter-eternity/DEvkuGeZqimp54uCZ5FgbCYu.jpg
4,Minisode1: Blue Hour,As the world faces the unique and unprecedented challenges of the COVID-19 pandemic,850,https://ibighit.com/txt/images/txt/discography/blue_hour/19P3lLPNtKeM6x9RGOwO1swi.jpg
5,The Chaos Chapter: Freeze,The 2nd Full-length album begins where dreams have been swept away by the towering presence of the real world,900,https://ibighit.com/txt/images/txt/discography/the_chaos_chapter_freeze/RfMzwNE4j2MB8wrjKDMu923Z.jpg
6,The Chaos Chapter: Fight or Escape,TOMORROW X TOGETHER continue their reign with their repackaged second studio album,900,https://ibighit.com/txt/images/txt/discography/the_chaos_chapter-fight_escape/cover_fight_escape.jpg
7,IT’z Different,ITZY debut digital single,750,https://lv2-cdn.azureedge.net/itzy/IT%E2%80%99z%20Different.jpg
8,IT'z ICY,First fresh summer with ITZY!,800,https://lv2-cdn.azureedge.net/itzy/IT'z%20ICY.jpg
9,IT'z ME,2nd Mini Album with the title song 'WANNABE',850,https://lv2-cdn.azureedge.net/itzy/WANNABE.jpg
10,Not Shy,ITZY sings fearless love through the new mini album,900,https://lv2-cdn.azureedge.net/itzy/c634c053a9944da590bdd4e25873c9af-Not-Shy-ONLINECOVER.jpg
11,GUESS WHO,“Never ceasing to amaze you” Wilder and bolder!,900,https://lv2-cdn.azureedge.net/itzy/92e81f5e06a44c96b8777382fa83b653-Guesswho-onlinecover-fans.jpg
12,CRAZY IN LOVE,The FIRST full-length album we’ve all been desperately waiting for!,900,https://lv2-cdn.azureedge.net/itzy/220939b337f146f8a75cc6cd0299cda5-ITZY_CRAZY%20IN%20LOVE_ONLINE%20COVER_%EC%B5%9C%EC%A2%85.jpg
